Bill Number,Title,Sponsors,Status,Current Location/Referral,Last Action Date
"<a href=""https://www.nmlegis.gov/Legislation/Legislation?chamber=S&legType=B&legNo=238&year=26"" target=""_blank"">SB 238</a>",RENAME GOVERNOR'S RESIDENCE ADVISORY COMM.,Peter Wirth,SRC: Reported by committee with Do Not Pass but with a Do Pass recommendation on Committee Substitution,"Senate Indian, Rural and Cultural Affairs Committee",02/09/2026
"<a href=""https://www.nmlegis.gov/Legislation/Legislation?chamber=S&legType=B&legNo=239&year=26"" target=""_blank"">SB 239</a>",CONTROLLED SUBSTANCE CONTINUING SENTENCING,Joseph Cervantes,SCC: Reported by committee to fall within the purview of a 30 day session,Senate Judiciary Committee,02/04/2026
"<a href=""https://www.nmlegis.gov/Legislation/Legislation?chamber=S&legType=B&legNo=240&year=26"" target=""_blank"">*SB 240</a>",CAPITAL OUTLAY PROJECTS,"Benny Shendo, Jr.; Pete Campos",Sent to SFC - Referrals: SFC,Senate Finance Committee,02/03/2026
"<a href=""https://www.nmlegis.gov/Legislation/Legislation?chamber=S&legType=B&legNo=241&year=26"" target=""_blank"">SB 241</a>",CHILD CARE ASSISTANCE PROGRAM ACT,"George K. Muñoz; Doreen Y. Gallegos; Linda M. Trujillo; Michael Padilla; Roberto ""Bobby"" J. Gonzales",Sent to HAFC - Referrals: HAFC,House Appropriations & Finance Committee,02/13/2026
"<a href=""https://www.nmlegis.gov/Legislation/Legislation?chamber=S&legType=B&legNo=242&year=26"" target=""_blank"">SB 242</a>",INDIAN FAMILY PROTECTION ACT COMPLIANCE,Shannon D. Pinto,SIRC: Reported by committee with Do Pass recommendation with amendment(s),Senate Finance Committee,02/11/2026
"<a href=""https://www.nmlegis.gov/Legislation/Legislation?chamber=S&legType=B&legNo=243&year=26"" target=""_blank"">SB 243</a>",NMSU STUDENT ACTIVITIES,Antonio Maestas; George K. Muñoz,SEC: Reported by committee with Do Pass recommendation,Senate Finance Committee,02/11/2026
"<a href=""https://www.nmlegis.gov/Legislation/Legislation?chamber=S&legType=B&legNo=244&year=26"" target=""_blank"">SB 244</a>",UNM STUDENT ATHLETES FUNDING,Antonio Maestas; George K. Muñoz,SEC: Reported by committee with Do Pass recommendation,Senate Finance Committee,02/11/2026
"<a href=""https://www.nmlegis.gov/Legislation/Legislation?chamber=S&legType=B&legNo=245&year=26"" target=""_blank"">SB 245</a>",INDECENT EXPOSURE TO CHILD OUT OF PUBLIC VIEW,Crystal Brantley,Sent to SCC - Referrals: SCC/SJC/SFC,Senate Committees Committee,02/03/2026
"<a href=""https://www.nmlegis.gov/Legislation/Legislation?chamber=S&legType=B&legNo=246&year=26"" target=""_blank"">SB 246</a>",MASSAGE THERAPY PRACTICE CHANGES,Pat Woods; Heather Berghmans,SHPAC: Reported by committee with Do Pass recommendation,Senate Judiciary Committee,02/12/2026
"<a href=""https://www.nmlegis.gov/Legislation/Legislation?chamber=S&legType=B&legNo=247&year=26"" target=""_blank"">SB 247</a>",NM MEDICAL REVIEW COMMISSION REPORT,Pat Woods,Sent to SCC - Referrals: SCC/SHPAC/SJC,Senate Committees Committee,02/03/2026
"<a href=""https://www.nmlegis.gov/Legislation/Legislation?chamber=S&legType=B&legNo=248&year=26"" target=""_blank"">SB 248</a>",INDIAN AFFAIRS COMMISSION,Shannon D. Pinto,SIRC: Reported by committee with Do Pass recommendation,Senate Finance Committee,02/12/2026
"<a href=""https://www.nmlegis.gov/Legislation/Legislation?chamber=S&legType=B&legNo=249&year=26"" target=""_blank"">SB 249</a>",MISSING & MURDERED INDIGENOUS PEOPLES,Shannon D. Pinto,SIRC: Reported by committee with Do Pass recommendation,Senate Finance Committee,02/11/2026
"<a href=""https://www.nmlegis.gov/Legislation/Legislation?chamber=S&legType=B&legNo=250&year=26"" target=""_blank"">SB 250</a>",IGNITION INTERLOCK FOR REVOKED LICENSE,Antonio Maestas,Sent to SCC - Referrals: SCC/STBTC/SJC,Senate Committees Committee,02/04/2026
"<a href=""https://www.nmlegis.gov/Legislation/Legislation?chamber=S&legType=B&legNo=251&year=26"" target=""_blank"">SB 251</a>",HORSE RACING PROGRAM TRAINING & OWNERSHIP,Antonio Maestas; Rex Wilson; Candy Spence Ezzell,STBTC: Reported by committee with Do Pass recommendation,Senate Judiciary Committee,02/13/2026
"<a href=""https://www.nmlegis.gov/Legislation/Legislation?chamber=S&legType=B&legNo=252&year=26"" target=""_blank"">SB 252</a>",LIQUOR TAX CHANGES,Antoinette Sedillo Lopez,Sent to SCC - Referrals: SCC/STBTC/SFC,Senate Committees Committee,02/04/2026
"<a href=""https://www.nmlegis.gov/Legislation/Legislation?chamber=S&legType=B&legNo=253&year=26"" target=""_blank"">SB 253</a>",PROHIBIT CERTAIN AGENCY RULES,William E. Sharer; George K. Muñoz,Sent to SCC - Referrals: SCC/SRC/SFC,Senate Committees Committee,02/04/2026
"<a href=""https://www.nmlegis.gov/Legislation/Legislation?chamber=S&legType=B&legNo=254&year=26"" target=""_blank"">SB 254</a>",TRUNKED RADIO SUBSCRIBER FEES,Jay C. Block,SHPAC: Reported by committee with Do Pass recommendation with amendment(s),Senate Finance Committee,02/10/2026
"<a href=""https://www.nmlegis.gov/Legislation/Legislation?chamber=S&legType=B&legNo=255&year=26"" target=""_blank"">SB 255</a>",FENTANYL TRAFFICKING AS MURDER,Jay C. Block,Sent to SCC - Referrals: SCC/SJC/SFC,Senate Committees Committee,02/04/2026
"<a href=""https://www.nmlegis.gov/Legislation/Legislation?chamber=S&legType=B&legNo=256&year=26"" target=""_blank"">SB 256</a>",UNLAWFUL INTERFERENCE WITH AIRCRAFT,Jay C. Block,Sent to SCC - Referrals: SCC/SJC/SFC,Senate Committees Committee,02/04/2026
"<a href=""https://www.nmlegis.gov/Legislation/Legislation?chamber=S&legType=B&legNo=257&year=26"" target=""_blank"">SB 257</a>",NMED PRIORITIZE HAZARDOUS WASTE,"Shannon D. Pinto; Elizabeth ""Liz"" Stefanics; Antoinette Sedillo Lopez",SCC: Reported by committee to fall within the purview of a 30 day session,"Senate Indian, Rural and Cultural Affairs Committee",02/13/2026
"<a href=""https://www.nmlegis.gov/Legislation/Legislation?chamber=S&legType=B&legNo=258&year=26"" target=""_blank"">SB 258</a>",FISCAL IMPACT REPORTS FOR RULES,Larry R. Scott,Sent to SCC - Referrals: SCC/SRC/SFC,Senate Committees Committee,02/04/2026
"<a href=""https://www.nmlegis.gov/Legislation/Legislation?chamber=S&legType=B&legNo=259&year=26"" target=""_blank"">SB 259</a>",CREATE NEW THREATS AGAINST LAW ENFORCEMENT,William E. Sharer; Crystal Brantley,Sent to SCC - Referrals: SCC/SJC/SFC,Senate Committees Committee,02/04/2026
"<a href=""https://www.nmlegis.gov/Legislation/Legislation?chamber=S&legType=B&legNo=260&year=26"" target=""_blank"">SB 260</a>",WORKFORCE EDUCATION TAX CREDIT,"George K. Muñoz; Benny Shendo, Jr.",SCC: Reported by committee to fall within the purview of a 30 day session,"Senate Tax, Business and Transportation Committee",02/05/2026
"<a href=""https://www.nmlegis.gov/Legislation/Legislation?chamber=S&legType=B&legNo=261&year=26"" target=""_blank"">SB 261</a>","PUBLIC PEACE, HEALTH, SAFETY & WELFARE",Joseph Cervantes,SJC: Reported by committee with Do Not Pass but with a Do Pass recommendation on Committee Substitution,Scheduled for Senate Calendar                                                                                                                                                                                                                                                 on 2/15/2026,02/14/2026
"<a href=""https://www.nmlegis.gov/Legislation/Legislation?chamber=S&legType=B&legNo=262&year=26"" target=""_blank"">SB 262</a>","PUBLIC PEACE, HEALTH, SAFETY & WELFARE",Joseph Cervantes,Not Printed,Senate Judiciary Committee,02/04/2026
"<a href=""https://www.nmlegis.gov/Legislation/Legislation?chamber=S&legType=B&legNo=263&year=26"" target=""_blank"">SB 263</a>","PUBLIC PEACE, HEALTH, SAFETY & WELFARE",Joseph Cervantes,Not Printed,Senate Judiciary Committee,02/04/2026
"<a href=""https://www.nmlegis.gov/Legislation/Legislation?chamber=S&legType=B&legNo=264&year=26"" target=""_blank"">SB 264</a>","PUBLIC PEACE, HEALTH, SAFETY & WELFARE",Katy M. Duhigg; Heather Berghmans; Cindy Nava; Angel M. Charley; Joseph Cervantes,SJC: Reported by committee with Do Pass recommendation,Scheduled for Senate Calendar                                                                                                                                                                                                                                                 on 2/15/2026,02/14/2026
"<a href=""https://www.nmlegis.gov/Legislation/Legislation?chamber=S&legType=B&legNo=265&year=26"" target=""_blank"">SB 265</a>","PUBLIC PEACE, HEALTH, SAFETY & WELFARE",Katy M. Duhigg,Not Printed,Senate Rules Committee,02/04/2026
"<a href=""https://www.nmlegis.gov/Legislation/Legislation?chamber=S&legType=B&legNo=266&year=26"" target=""_blank"">SB 266</a>","PUBLIC PEACE, HEALTH, SAFETY & WELFARE",Katy M. Duhigg,Not Printed,Senate Rules Committee,02/04/2026
"<a href=""https://www.nmlegis.gov/Legislation/Legislation?chamber=S&legType=B&legNo=267&year=26"" target=""_blank"">SB 267</a>","PUBLIC PEACE, HEALTH, SAFETY & WELFARE",Carrie Hamblen,Not Printed,"Senate Tax, Business and Transportation Committee",02/04/2026
"<a href=""https://www.nmlegis.gov/Legislation/Legislation?chamber=S&legType=B&legNo=268&year=26"" target=""_blank"">SB 268</a>","PUBLIC PEACE, HEALTH, SAFETY & WELFARE",Carrie Hamblen,Not Printed,"Senate Tax, Business and Transportation Committee",02/04/2026
"<a href=""https://www.nmlegis.gov/Legislation/Legislation?chamber=S&legType=B&legNo=269&year=26"" target=""_blank"">SB 269</a>","PUBLIC PEACE, HEALTH, SAFETY & WELFARE",Carrie Hamblen,Not Printed,"Senate Tax, Business and Transportation Committee",02/04/2026
"<a href=""https://www.nmlegis.gov/Legislation/Legislation?chamber=S&legType=B&legNo=270&year=26"" target=""_blank"">SB 270</a>","PUBLIC PEACE, HEALTH, SAFETY & WELFARE",Linda M. López,Sent to SCC - Referrals: SCC/SJC,Senate Committees Committee,02/13/2026
"<a href=""https://www.nmlegis.gov/Legislation/Legislation?chamber=S&legType=B&legNo=271&year=26"" target=""_blank"">SB 271</a>","PUBLIC PEACE, HEALTH, SAFETY & WELFARE",Linda M. López,Sent to SCC - Referrals: SCC/STBTC,Senate Committees Committee,02/13/2026
"<a href=""https://www.nmlegis.gov/Legislation/Legislation?chamber=S&legType=B&legNo=272&year=26"" target=""_blank"">SB 272</a>","PUBLIC PEACE, HEALTH, SAFETY & WELFARE",Linda M. López,Not Printed,Senate Health and Public Affairs Committee,02/04/2026
"<a href=""https://www.nmlegis.gov/Legislation/Legislation?chamber=S&legType=B&legNo=273&year=26"" target=""_blank"">SB 273</a>","PUBLIC PEACE, HEALTH, SAFETY & WELFARE",George K. Muñoz,SCC: Reported by committee to fall within the purview of a 30 day session,Scheduled for Senate Finance Committee                                                                                                                                                                                                                                        on 2/15/2026,02/12/2026
"<a href=""https://www.nmlegis.gov/Legislation/Legislation?chamber=S&legType=B&legNo=274&year=26"" target=""_blank"">SB 274</a>","PUBLIC PEACE, HEALTH, SAFETY & WELFARE",George K. Muñoz,Not Printed,Senate Finance Committee,02/04/2026
"<a href=""https://www.nmlegis.gov/Legislation/Legislation?chamber=S&legType=B&legNo=275&year=26"" target=""_blank"">SB 275</a>","PUBLIC PEACE, HEALTH, SAFETY & WELFARE",George K. Muñoz,Not Printed,Senate Finance Committee,02/04/2026
"<a href=""https://www.nmlegis.gov/Legislation/Legislation?chamber=S&legType=B&legNo=276&year=26"" target=""_blank"">SB 276</a>","PUBLIC PEACE, HEALTH, SAFETY & WELFARE",Michael Padilla,Not Printed,Senate Finance Committee,02/04/2026
"<a href=""https://www.nmlegis.gov/Legislation/Legislation?chamber=S&legType=B&legNo=277&year=26"" target=""_blank"">SB 277</a>","PUBLIC PEACE, HEALTH, SAFETY & WELFARE",Michael Padilla,Not Printed,Senate Health and Public Affairs Committee,02/04/2026
"<a href=""https://www.nmlegis.gov/Legislation/Legislation?chamber=S&legType=B&legNo=278&year=26"" target=""_blank"">SB 278</a>","PUBLIC PEACE, HEALTH, SAFETY & WELFARE",Michael Padilla,Referred to: SCC/STBTC,Senate Committees Committee,02/11/2026
"<a href=""https://www.nmlegis.gov/Legislation/Legislation?chamber=S&legType=B&legNo=279&year=26"" target=""_blank"">SB 279</a>","PUBLIC PEACE, HEALTH, SAFETY & WELFARE",Shannon D. Pinto,Not Printed,"Senate Indian, Rural and Cultural Affairs Committee",02/04/2026
"<a href=""https://www.nmlegis.gov/Legislation/Legislation?chamber=S&legType=B&legNo=280&year=26"" target=""_blank"">SB 280</a>","PUBLIC PEACE, HEALTH, SAFETY & WELFARE",Antoinette Sedillo Lopez,Referred to: SCC/STBTC,Senate Committees Committee,02/14/2026
"<a href=""https://www.nmlegis.gov/Legislation/Legislation?chamber=S&legType=B&legNo=281&year=26"" target=""_blank"">SB 281</a>","PUBLIC PEACE, HEALTH, SAFETY & WELFARE",Shannon D. Pinto,Not Printed,"Senate Indian, Rural and Cultural Affairs Committee",02/04/2026
"<a href=""https://www.nmlegis.gov/Legislation/Legislation?chamber=S&legType=B&legNo=282&year=26"" target=""_blank"">SB 282</a>","PUBLIC PEACE, HEALTH, SAFETY & WELFARE",William E. Sharer,Not Printed,Senate Judiciary Committee,02/04/2026
"<a href=""https://www.nmlegis.gov/Legislation/Legislation?chamber=S&legType=B&legNo=283&year=26"" target=""_blank"">SB 283</a>","PUBLIC PEACE, HEALTH, SAFETY & WELFARE",Nicole Tobiassen; Peter Wirth,SCC: Reported by committee to fall within the purview of a 30 day session,"Senate Tax, Business and Transportation Committee",02/12/2026
"<a href=""https://www.nmlegis.gov/Legislation/Legislation?chamber=S&legType=B&legNo=284&year=26"" target=""_blank"">SB 284</a>","PUBLIC PEACE, HEALTH, SAFETY & WELFARE",William E. Sharer,Not Printed,Senate Finance Committee,02/04/2026
"<a href=""https://www.nmlegis.gov/Legislation/Legislation?chamber=S&legType=B&legNo=285&year=26"" target=""_blank"">SB 285</a>","PUBLIC PEACE, HEALTH, SAFETY & WELFARE",William P. Soules,Not Printed,Senate Education Committee,02/04/2026
"<a href=""https://www.nmlegis.gov/Legislation/Legislation?chamber=S&legType=B&legNo=286&year=26"" target=""_blank"">SB 286</a>","PUBLIC PEACE, HEALTH, SAFETY & WELFARE",William P. Soules,Not Printed,Senate Education Committee,02/04/2026
"<a href=""https://www.nmlegis.gov/Legislation/Legislation?chamber=S&legType=B&legNo=287&year=26"" target=""_blank"">SB 287</a>","PUBLIC PEACE, HEALTH, SAFETY & WELFARE",William P. Soules,Not Printed,Senate Education Committee,02/04/2026
"<a href=""https://www.nmlegis.gov/Legislation/Legislation?chamber=S&legType=B&legNo=288&year=26"" target=""_blank"">SB 288</a>","PUBLIC PEACE, HEALTH, SAFETY & WELFARE","Elizabeth ""Liz"" Stefanics",Not Printed,Senate Conservation Committee,02/04/2026
"<a href=""https://www.nmlegis.gov/Legislation/Legislation?chamber=S&legType=B&legNo=289&year=26"" target=""_blank"">SB 289</a>","PUBLIC PEACE, HEALTH, SAFETY & WELFARE","Elizabeth ""Liz"" Stefanics",Not Printed,Senate Conservation Committee,02/04/2026
"<a href=""https://www.nmlegis.gov/Legislation/Legislation?chamber=S&legType=B&legNo=290&year=26"" target=""_blank"">SB 290</a>","PUBLIC PEACE, HEALTH, SAFETY & WELFARE","Elizabeth ""Liz"" Stefanics",Not Printed,Senate Conservation Committee,02/04/2026
"<a href=""https://www.nmlegis.gov/Legislation/Legislation?chamber=S&legType=B&legNo=291&year=26"" target=""_blank"">SB 291</a>","PUBLIC PEACE, HEALTH, SAFETY & WELFARE",Mimi Stewart,Not Printed,Senate Education Committee,02/04/2026
"<a href=""https://www.nmlegis.gov/Legislation/Legislation?chamber=S&legType=B&legNo=292&year=26"" target=""_blank"">SB 292</a>","PUBLIC PEACE, HEALTH, SAFETY & WELFARE",Mimi Stewart,Not Printed,Senate Conservation Committee,02/04/2026
"<a href=""https://www.nmlegis.gov/Legislation/Legislation?chamber=S&legType=B&legNo=293&year=26"" target=""_blank"">SB 293</a>","PUBLIC PEACE, HEALTH, SAFETY & WELFARE",Mimi Stewart,Not Printed,"Senate Tax, Business and Transportation Committee",02/04/2026
"<a href=""https://www.nmlegis.gov/Legislation/Legislation?chamber=S&legType=B&legNo=294&year=26"" target=""_blank"">SB 294</a>","PUBLIC PEACE, HEALTH, SAFETY & WELFARE",Peter Wirth,Not Printed,"Senate Tax, Business and Transportation Committee",02/04/2026
"<a href=""https://www.nmlegis.gov/Legislation/Legislation?chamber=S&legType=B&legNo=295&year=26"" target=""_blank"">SB 295</a>","PUBLIC PEACE, HEALTH, SAFETY & WELFARE",Peter Wirth,Not Printed,Senate Judiciary Committee,02/04/2026
"<a href=""https://www.nmlegis.gov/Legislation/Legislation?chamber=S&legType=B&legNo=296&year=26"" target=""_blank"">SB 296</a>","PUBLIC PEACE, HEALTH, SAFETY & WELFARE",Peter Wirth,Not Printed,Senate Conservation Committee,02/04/2026
"<a href=""https://www.nmlegis.gov/Legislation/Legislation?chamber=S&legType=B&legNo=297&year=26"" target=""_blank"">SB 297</a>","PUBLIC PEACE, HEALTH, SAFETY & WELFARE",Pat Woods,Not Printed,"Senate Tax, Business and Transportation Committee",02/04/2026
"<a href=""https://www.nmlegis.gov/Legislation/Legislation?chamber=S&legType=B&legNo=298&year=26"" target=""_blank"">SB 298</a>","PUBLIC PEACE, HEALTH, SAFETY & WELFARE",Pat Woods,Not Printed,Senate Conservation Committee,02/04/2026
"<a href=""https://www.nmlegis.gov/Legislation/Legislation?chamber=S&legType=B&legNo=299&year=26"" target=""_blank"">SB 299</a>","PUBLIC PEACE, HEALTH, SAFETY & WELFARE",Pat Woods,Not Printed,Senate Finance Committee,02/04/2026
"<a href=""https://www.nmlegis.gov/Legislation/Legislation?chamber=S&legType=B&legNo=300&year=26"" target=""_blank"">SB 300</a>",CYFD COMPUTER HARDWARE & SOFTWARE,Shannon D. Pinto; Antoinette Sedillo Lopez; Linda M. López,SHPAC: Reported by committee with Do Pass recommendation,Senate Finance Committee,02/12/2026
"<a href=""https://www.nmlegis.gov/Legislation/Legislation?chamber=S&legType=B&legNo=301&year=26"" target=""_blank"">SB 301</a>",FOSTER PARENT CARING FOR INDIAN CHILD SUPPORT,Shannon D. Pinto; Linda M. López,SHPAC: Reported by committee with Do Pass recommendation with amendment(s),Senate Finance Committee,02/12/2026
